image_name,equation,netlist
AND (100).jpg,UNKNOWN,UNKNOWN
AND (103).jpg,UNKNOWN,UNKNOWN
AND (113).jpg,UNKNOWN,UNKNOWN
AND (124).jpg,UNKNOWN,UNKNOWN
AND (14).jpg,UNKNOWN,UNKNOWN
And (148).jpeg,UNKNOWN,UNKNOWN
And (150).jpeg,UNKNOWN,UNKNOWN
AND (16).jpg,UNKNOWN,UNKNOWN
AND (17).jpg,UNKNOWN,UNKNOWN
AND (19).jpg,UNKNOWN,UNKNOWN
AND (2).jpg,UNKNOWN,UNKNOWN
AND (26).jpg,UNKNOWN,UNKNOWN
AND (27).jpg,UNKNOWN,UNKNOWN
AND (28).jpg,UNKNOWN,UNKNOWN
AND (29).jpg,UNKNOWN,UNKNOWN
AND (3).jpg,UNKNOWN,UNKNOWN
AND (31).jpg,UNKNOWN,UNKNOWN
AND (34).jpg,UNKNOWN,UNKNOWN
AND (35).jpg,UNKNOWN,UNKNOWN
AND (38).jpg,UNKNOWN,UNKNOWN
AND (4).jpg,UNKNOWN,UNKNOWN
AND (5).jpg,UNKNOWN,UNKNOWN
AND (59).jpg,UNKNOWN,UNKNOWN
AND (64).jpg,UNKNOWN,UNKNOWN
AND (78).jpg,UNKNOWN,UNKNOWN
AND (82).jpg,UNKNOWN,UNKNOWN
AND (85).jpg,UNKNOWN,UNKNOWN
AND (89).jpg,UNKNOWN,UNKNOWN
BUFFER (101).jpg,UNKNOWN,UNKNOWN
BUFFER (102).jpg,UNKNOWN,UNKNOWN
BUFFER (114).jpg,UNKNOWN,UNKNOWN
BUFFER (116).jpg,UNKNOWN,UNKNOWN
BUFFER (118).jpg,UNKNOWN,UNKNOWN
BUFFER (120).jpg,UNKNOWN,UNKNOWN
BUFFER (121).jpg,UNKNOWN,UNKNOWN
BUFFER (123).jpg,UNKNOWN,UNKNOWN
BUFFER (124).jpg,UNKNOWN,UNKNOWN
BUFFER (125).jpg,UNKNOWN,UNKNOWN
BUFFER (127).jpeg,UNKNOWN,UNKNOWN
BUFFER (14).jpg,UNKNOWN,UNKNOWN
BUFFER (142).jpeg,UNKNOWN,UNKNOWN
BUFFER (143).jpeg,UNKNOWN,UNKNOWN
BUFFER (150).jpeg,UNKNOWN,UNKNOWN
BUFFER (2).jpg,UNKNOWN,UNKNOWN
BUFFER (22).jpg,UNKNOWN,UNKNOWN
BUFFER (3).jpg,UNKNOWN,UNKNOWN
BUFFER (38).jpg,UNKNOWN,UNKNOWN
BUFFER (4).jpg,UNKNOWN,UNKNOWN
BUFFER (45).jpg,UNKNOWN,UNKNOWN
BUFFER (5).jpg,UNKNOWN,UNKNOWN
BUFFER (62).jpg,UNKNOWN,UNKNOWN
BUFFER (65).jpg,UNKNOWN,UNKNOWN
NAND (1).jpg,UNKNOWN,UNKNOWN
NAND (100).jpg,UNKNOWN,UNKNOWN
NAND (101).jpg,UNKNOWN,UNKNOWN
NAND (102).jpg,UNKNOWN,UNKNOWN
NAND (11).jpg,UNKNOWN,UNKNOWN
NAND (112).jpg,UNKNOWN,UNKNOWN
NAND (114).jpg,UNKNOWN,UNKNOWN
NAND (117).jpg,UNKNOWN,UNKNOWN
NAND (12).jpg,UNKNOWN,UNKNOWN
NAND (122).jpg,UNKNOWN,UNKNOWN
NAND (123).jpg,UNKNOWN,UNKNOWN
NAND (126).jpeg,UNKNOWN,UNKNOWN
NAND (128).jpeg,UNKNOWN,UNKNOWN
NAND (13).jpg,UNKNOWN,UNKNOWN
NAND (137).jpeg,UNKNOWN,UNKNOWN
NAND (139).jpeg,UNKNOWN,UNKNOWN
NAND (140).jpeg,UNKNOWN,UNKNOWN
NAND (143).jpeg,UNKNOWN,UNKNOWN
NAND (146).jpeg,UNKNOWN,UNKNOWN
NAND (16).jpg,UNKNOWN,UNKNOWN
NAND (18).jpg,UNKNOWN,UNKNOWN
NAND (2).jpg,UNKNOWN,UNKNOWN
NAND (22).jpg,UNKNOWN,UNKNOWN
NAND (25).jpg,UNKNOWN,UNKNOWN
NAND (26).jpg,UNKNOWN,UNKNOWN
NAND (3).jpg,UNKNOWN,UNKNOWN
NAND (36).jpg,UNKNOWN,UNKNOWN
NAND (4).jpg,UNKNOWN,UNKNOWN
NAND (55).jpg,UNKNOWN,UNKNOWN
NAND (56).jpg,UNKNOWN,UNKNOWN
NAND (59).jpg,UNKNOWN,UNKNOWN
NAND (61).jpg,UNKNOWN,UNKNOWN
NAND (86).jpg,UNKNOWN,UNKNOWN
NOR (1).jpg,UNKNOWN,UNKNOWN
NOR (101).jpg,UNKNOWN,UNKNOWN
NOR (107).jpg,UNKNOWN,UNKNOWN
NOR (112).jpg,UNKNOWN,UNKNOWN
NOR (116).jpg,UNKNOWN,UNKNOWN
NOR (118).jpg,UNKNOWN,UNKNOWN
NOR (12).jpg,UNKNOWN,UNKNOWN
NOR (122).jpg,UNKNOWN,UNKNOWN
NOR (123).jpg,UNKNOWN,UNKNOWN
NOR (124).jpg,UNKNOWN,UNKNOWN
NOR (127).jpeg,UNKNOWN,UNKNOWN
NOR (128).jpeg,UNKNOWN,UNKNOWN
NOR (129).jpeg,UNKNOWN,UNKNOWN
NOR (13).jpg,UNKNOWN,UNKNOWN
NOR (138).jpeg,UNKNOWN,UNKNOWN
NOR (139).jpeg,UNKNOWN,UNKNOWN
NOR (14).jpg,UNKNOWN,UNKNOWN
NOR (140).jpeg,UNKNOWN,UNKNOWN
NOR (144).jpeg,UNKNOWN,UNKNOWN
NOR (147).jpeg,UNKNOWN,UNKNOWN
NOR (149).jpeg,UNKNOWN,UNKNOWN
NOR (2).jpg,UNKNOWN,UNKNOWN
NOR (22).jpg,UNKNOWN,UNKNOWN
NOR (26).jpg,UNKNOWN,UNKNOWN
NOR (3).jpg,UNKNOWN,UNKNOWN
NOR (37).jpg,UNKNOWN,UNKNOWN
NOR (4).jpg,UNKNOWN,UNKNOWN
NOR (40).jpg,UNKNOWN,UNKNOWN
NOR (56).jpg,UNKNOWN,UNKNOWN
NOR (57).jpg,UNKNOWN,UNKNOWN
NOR (60).jpg,UNKNOWN,UNKNOWN
NOR (80).jpg,UNKNOWN,UNKNOWN
NOR (89).jpg,UNKNOWN,UNKNOWN
NOR (93).jpg,UNKNOWN,UNKNOWN
NOT (1).jpg,F = (NOT X),F = NOT(X)
NOT (101).jpg,UNKNOWN,UNKNOWN
NOT (120).jpg,UNKNOWN,UNKNOWN
NOT (121).jpg,UNKNOWN,UNKNOWN
NOT (123).jpg,UNKNOWN,UNKNOWN
NOT (124).jpg,UNKNOWN,UNKNOWN
NOT (137).jpeg,UNKNOWN,UNKNOWN
NOT (138).jpeg,UNKNOWN,UNKNOWN
NOT (139).jpeg,UNKNOWN,UNKNOWN
NOT (14).jpg,UNKNOWN,UNKNOWN
NOT (143).jpeg,UNKNOWN,UNKNOWN
NOT (147).jpeg,UNKNOWN,UNKNOWN
NOT (15).jpg,UNKNOWN,UNKNOWN
NOT (16).jpg,UNKNOWN,UNKNOWN
NOT (2).jpg,UNKNOWN,UNKNOWN
NOT (3).jpg,UNKNOWN,UNKNOWN
NOT (4).jpg,UNKNOWN,UNKNOWN
NOT (64).jpg,UNKNOWN,UNKNOWN
NOT (65).jpg,UNKNOWN,UNKNOWN
NOT (82).jpg,UNKNOWN,UNKNOWN
OR (1).jpg,Y = (A OR B),"Y = OR(A, B)"
OR (101).jpg,UNKNOWN,UNKNOWN
OR (103).jpg,UNKNOWN,UNKNOWN
OR (107).jpg,UNKNOWN,UNKNOWN
OR (116).jpg,UNKNOWN,UNKNOWN
OR (118).jpg,UNKNOWN,UNKNOWN
OR (122).jpg,UNKNOWN,UNKNOWN
OR (123).jpg,UNKNOWN,UNKNOWN
OR (124).jpg,UNKNOWN,UNKNOWN
